id,original_title,title,original_language,overview,release_date,popularity,vote_average,budget,revenue,runtime,genre_names,collection,collection_name,release_year,release_month,release_day
1679,ゴジラの逆襲,Godzilla Raids Again,ja,"fishing scout pilots make horrifying discovery encounter second godzilla alongside new monster named anguirus. without weapon killed original, authorities attempt lure godzilla away mainland. anguirus soon arrives monsters make way towards osaka japan braces tragedy.",1955-04-24,15.389,6.0,800000,1952653,82,"Action, Adventure, Drama, Horror, Science Fiction, Thriller",374509.0,Godzilla (Showa) Collection,1955,4,24
71469,The Darkest Hour,The Darkest Hour,en,"moscow, five young people lead charge against alien race which attacked earth via our power supply.",2011-12-22,15.358,5.3,30000000,64626786,89,"Action, Horror, Science Fiction, Thriller",,,2011,12,22
6312,Le Pacte des loups,Brotherhood of the Wolf,fr,"18th century france, chevalier de fronsac native american friend mani sent king gevaudan province investigate killings hundreds mysterious beast.",2001-01-31,15.357,6.7,29000000,70752904,137,"Action, Adventure, History, Horror",,,2001,1,31
9542,The Hitcher,The Hitcher,en,"stormy night, young jim, transports luxury car chicago california deliver its owner, feeling tired sleepy, picks mysterious hitchhiker, appeared nowhere, thinking good conversation help not fall asleep. enough time deeply regret such unmeditated decision.",1986-01-17,15.342,7.0,6000000,5844868,98,"Action, Horror, Thriller",476054.0,The Hitcher Collection,1986,1,17
314405,Il racconto dei racconti,Tale of Tales,it,queen selvascura risks everything mother; king roccaforte falls love voice mysterious girl; king altomonte becomes obsessed flea neglects daughter.,2015-05-14,15.329,6.4,12000000,5500277,134,"Fantasy, Horror, Romance",,,2015,5,14
28794,Quella villa accanto al cimitero,The House by the Cemetery,it,"doctor kills mistress himself while researching mysterious previous owner boston home, colleague, dr. norman boyle, takes over research moves family new york city boston mansion. soon after, boyle's young son bob becomes plagued visions young girl, warns danger within house.",1981-08-14,15.266,6.1,786801,1845819,87,Horror,923500.0,Gates of Hell Trilogy,1981,8,14
6488,Arachnophobia,Arachnophobia,en,"large spider jungles south america accidentally transported crate dead body america where mates local spider. soon after, residents small california town disappear result spider bites deadly spider offspring. it's couple doctors help insect exterminator annihilate these eight legged freaks.",1990-07-20,15.25,6.4,31000000,53208180,103,"Comedy, Horror",,,1990,7,20
36685,The Rocky Horror Picture Show,The Rocky Horror Picture Show,en,"sweethearts brad janet, stuck flat tire during storm, discover eerie mansion dr. frank-n-furter, transvestite scientist. innocence lost, brad janet meet houseful wild characters, including rocking biker creepy butler. through elaborate dances rock songs, frank-n-furter unveils latest creation: muscular named 'rockv'.",1975-08-14,15.202,7.5,1200000,112892319,100,"Comedy, Fantasy, Horror, Science Fiction",694606.0,The Rocky Horror Picture Show Collection,1975,8,14
11495,Firestarter,Firestarter,en,"youths, andy mcgee future wife, vicky, participated secret experiments, allowing themselves subjected mysterious medical tests. years later, couple's daughter, charlie, begins exhibit ability setting fires solely mind. volatile talent makes youngster extremely dangerous soon becomes target enigmatic agency known ""the shop.""",1984-05-11,15.134,6.3,15000000,17080167,114,"Horror, Science Fiction, Thriller",,,1984,5,11
13310,Låt den rätte komma in,Let the Right One In,sv,"set 1982 suburb blackeberg, stockholm, twelve-year-old oskar lonely outsider, bullied school classmates; home, oskar dreams revenge against trio bullies. befriends twelve-year-old, next-door neighbor eli, only appears night snow-covered playground outside building.",2008-10-24,15.108,7.5,4000000,10785801,115,"Drama, Horror",,,2008,10,24
341006,The Belko Experiment,The Belko Experiment,en,group eighty american workers locked office ordered unknown voice participate twisted game.,2016-03-17,15.069,6.1,5000000,10166820,89,"Action, Horror, Thriller",,,2016,3,17
380124,Boo! A Madea Halloween,Boo! A Madea Halloween,en,"madea winds middle mayhem spends hilarious, haunted halloween fending off killers, paranormal poltergeists, ghosts, ghouls, zombies while keeping watchful eye group misbehaving teens.",2016-10-21,14.994,5.7,20000000,74827344,103,"Comedy, Horror",534673.0,Madea - Collection,2016,10,21
16288,Creepshow 2,Creepshow 2,en,"ec comics-inspired weirdness returns three tales. first, wooden statue native american comes life exact vengeance murderer elderly owners. second, four teens stranded raft lake blob hungry. third, hit run terrorized hitchhiker accidentally killed... or did she?",1987-05-01,14.978,6.2,3500000,14000000,92,"Comedy, Horror",107725.0,Creepshow Collection,1987,5,1
36419,After.Life,After.Life,en,"following terrible car crash, awakes find enigmatic mortician preparing burial.",2009-11-07,14.972,6.2,4500000,3606395,104,"Drama, Horror, Mystery, Thriller",,,2009,11,7
11815,The Fly,The Fly,en,"industrialist françois delambre called late night sister-in-law, helene delambre, tells just killed husband, andré. reluctant first, eventually explains police andré invented matter transportation apparatus and, while experimenting himself, fly entered chamber during matter transference.",1958-07-16,14.889,7.1,700000,3000000,94,"Drama, Horror, Science Fiction",123213.0,The Fly Collection,1958,7,16
1678,ゴジラ,Godzilla,ja,"japan thrown panic several ships sunk near odo island. expedition island led dr. yemani soon discover something far more devastating than imagined form 50 meter tall monster whom natives call gojira. now monster begins rampage threatens destroy not only japan, rest world well.",1954-11-03,14.815,7.6,900000,2250000,96,"Horror, Science Fiction, Thriller",374509.0,Godzilla (Showa) Collection,1954,11,3
24126,Warlock: The Armageddon,Warlock: The Armageddon,en,"every six hundred years, great evil opportunity escape unleash armageddon. group five stones power either free evil, or banish another six hundred years. order druids battles warlock determined unleash father upon world.",1993-05-01,14.802,5.3,3000000,3902679,98,"Fantasy, Horror, Science Fiction",87536.0,Warlock Collection,1993,5,1
9009,Dark Water,Dark Water,en,"dahlia williams daughter cecelia move rundown apartment new york's roosevelt island. currently midst divorce proceedings apartment, though near excellent school daughter, all can afford. time arrives, there mysterious occurrences there constant drip ceiling daughter's bedroom.",2005-07-08,14.764,5.6,30000000,68357079,105,"Horror, Mystery",,,2005,7,8
11974,The 'Burbs,The 'Burbs,en,"secretive new neighbors move door, suburbanite ray peterson friends let paranoia get best start suspect newcomers evildoings commence investigation. it's hardly how ray, much prefers drinking beer, reading newspaper watching ball game tube expected spend vacation.",1989-02-17,14.73,6.7,18000000,49101993,102,"Comedy, Horror, Thriller",,,1989,2,17
